Thomas Yan
David Schwartz
Donald Greenberg
Jon Kleinberg
Dexter Kozen
Bart Selman
Graeme Bailey
Andrew Myers
William Arms
Claire Cardie
Thorsten Joachims
Radu Rugina
Uri Keich
David Crandall
Christoph Koch
Ronald Dinapoli
Robert Kleinberg
Ashutosh Saxena
Noah Snavely
Rafael Pass
Hakim Weatherspoon
Walter Frisch
Walker White
Doug James
Robert Constable
Siddhartha Chaudhuri
Elaine Shi
Anne Bracy
Daisy Fan
Emin Gun Sirer
Steven Vavasis
Lillian Lee
Keshav Pingali
Ramin Zabih
David Gries
Paul Francis
John Hopcroft
Eva Tardos
Rich Caruana
Fred Schneider
Ken Birman
Charles Van Loan
Paul Chew
Joseph Halpern
Steve Marschner
