Szonja Szelényi
Michael Macy
Victor Nee
Doug Heckathorn
Kim Weeden
Steve Morgan
David Strang
Steve Caldwell
Richard Swedberg
Mabel Berezin
Sid Tarrow
Alaka Basu
Joe Francis
Paul McLaughlin
Douglas Gurak
Angela Gonzales
Hector Velez-Guadalupe
Shelley Correll
Ron Mize
Ursula Holtgrewe
Kinga Wysienska
Linda Williams
Fouad Makki
Kristie Lekies
Kelly Dietz
Gil Gillespie
Zun Tang
Daniel Lichter
Benjamin Cornwell
Christine Leuenberger-Pinch
Erin York Cornwell
Erik Schmidt
Matt Brashears
Sydney Van Morgan
Martin De Santos
Marygold Walsh-Dilley
Kelly Musick
Thomas Hirschl
Kendra Bischoff
Dennis Bogusz
Ryan Nehring
Paromita Sanyal
Anna Haskins
Robert Venables
Charles Geisler
Shelley Feldman
Parfait Eloundou-Enyegue
Tom Lyson
Paul Eberts
Philip McMichael
David Harris
