Garrison Sposito
Robert Dibble
Dennis K. Lieu
Homayoon Kazerooni
David Steigmann
Robert Harley
Kyriakos Komvopoulos
Benson Tongue
Fai Ma
Van Carey
William Kastenberg
Thomas Kirchstetter
Thomas Budinger
C. Susheel Bibbs
Arunava Majumdar
Liwei Lin
David Dornfeld
Roger Howe
Costas Grigoropoulos
John Welsh
Thomas Philippi
Roberto Horowitz
Ron Gronsky
Josh Hug
Marcel Kristel
Armen Der Kiureghian
Mark Stacey
Kameshwar Poolla
Lydia Sohn
Omer Savas
Edward Lee
J. Karl Hedrick
Stanley Berger
Adam Arkin
Arun Nevader
Ismail Ceylan
Ming San Yang
Daniel Benoit
Bernt Wahl
George Johnson
Terry Johnson
Will Seng
Ali Jarvey
Dan Fletcher
Hayley Lam
Carlo Seguin
Dean Kamen
Mark Asta
Ken Singer
Bart Pestarino
Sara Beckman
Sarah McMains
Kent Udell
Andreas Glaeser
Jon Burgstone
Eugene Haller
Jacob Lubliner
Andrew Szeri
Oliver O'Reilly
Michael Gastpar
Andrew Packard
Leon Chua
Jyh-Yuan Chen
William Nazaroff
George Shanthikumar
Michael Cassidy
Dennis Wang
James Casey
JW Morris
Richard White
Jim Demmel
Abolhassan Astaneh-Asl
Michael Frenklach
Panos Papadopoulos
Rob Ritchie
Lisa Pruitt
Yuri Suzuki
Pravin Varaiya
John Verboncoeur
Raja Sengupta
Nathan Hallquist
